ism,yosh,shahar,fan,baho,kurs
Hulkar Mirzayeva,23,Farg'ona,Geografiya,98,3
Jasur Holiqov,22,Termiz,Iqtisodiyot,97,1
Feruza Nazarova,25,Andijon,Adabiyot,66,1
Sherzod Tursunov,19,Andijon,Adabiyot,66,2
Lola Xudoyberdiyeva,24,Toshkent,Geografiya,97,3
Zulfiya Rahimova,21,Nukus,Tarix,100,3
Sanjar Yusupov,23,Nukus,Adabiyot,70,4
Ravshan Aminov,18,Namangan,Matematika,80,2
Sabohat Toshmatova,23,Qarshi,Kimyo,80,1
Akbar Nazarov,25,Farg'ona,Fizika,58,4
Nargiza Xoliqova,24,Nukus,Informatika,67,2
Kamola Normatova,26,Andijon,Kimyo,69,4
Sanjar Yusupov,18,Qarshi,Iqtisodiyot,98,1
Nodir Rajabov,19,Buxoro,Geografiya,73,4
Sabohat Toshmatova,21,Andijon,Biologiya,55,4
Nilufar Qodirova,18,Nukus,Matematika,79,2
Ravshan Aminov,26,Andijon,Tarix,74,3
Sanjar Yusupov,20,Jizzax,Tarix,97,3
Firdavs Umarov,24,Farg'ona,Informatika,87,1
Sabohat Toshmatova,23,Namangan,Iqtisodiyot,57,1
Malika Tosheva,24,Farg'ona,Biologiya,78,1
Sanjar Yusupov,20,Andijon,Fizika,65,2
Jasur Holiqov,21,Samarkand,Matematika,80,3
Akbar Nazarov,18,Nukus,Matematika,55,3
Dilorom Rahimova,20,Andijon,Adabiyot,72,1
Hulkar Mirzayeva,18,Namangan,Informatika,96,2
Nodir Rajabov,20,Jizzax,Biologiya,98,3
Mohira Abdullayeva,21,Samarkand,Iqtisodiyot,65,2
Shahnoza Ortiqova,26,Nukus,Tarix,65,1
Nozima Abduraxmonova,21,Farg'ona,Kimyo,59,2
Barno Hamidova,22,Termiz,Fizika,67,2
Nozima Abduraxmonova,25,Samarkand,Matematika,55,1
Nodir Rajabov,23,Andijon,Geografiya,91,4
Kamola Normatova,22,Andijon,Biologiya,75,4
Mansur Qosimov,23,Buxoro,Geografiya,61,2
Kamola Normatova,26,Jizzax,Geografiya,76,2
Hulkar Mirzayeva,18,Buxoro,Tarix,61,1
Ziyoda Maxmudova,25,Buxoro,Biologiya,75,1
Nilufar Qodirova,26,Qarshi,Matematika,63,4
Dilnoza Ergasheva,22,Nukus,Informatika,82,4
Shahnoza Ortiqova,22,Jizzax,Iqtisodiyot,88,2
Feruza Nazarova,25,Termiz,Tarix,59,2
Mansur Qosimov,26,Termiz,Matematika,68,3
Mansur Qosimov,20,Termiz,Tarix,98,2
Gulnora Sotvoldiyeva,20,Samarkand,Informatika,85,2
Akbar Nazarov,26,Buxoro,Iqtisodiyot,92,4
Sardor Mirzayev,21,Qarshi,Geografiya,94,2
Sanjar Yusupov,20,Toshkent,Fizika,98,4
